usuario,contrasena,name,correo,genero,totalCreditos
"rheadey3c,""wA011jIZgC,dUrSH"",Rusty Headey,rheadey3c@edu.com,Masculino,63"
csorrell3d,xC421>jBK0vF~m,Cherlyn Sorrell,csorrell3d@edu.com,Femenino,130
dcoast3e,vY588>8`K1mFX,Denys Coast,dcoast3e@edu.com,Femenino,45
udisman3f,uR6610%l9,Ulrich Disman,udisman3f@edu.com,Masculino,20
sdupey3g,uH7235m3m$8VklZq,Shaylynn Dupey,sdupey3g@edu.com,Masculino,22
vblyde3h,qE134{FOk,Vlad Blyde,vblyde3h@edu.com,Femenino,24
"ahassey3i,""iA07416I<""""SfJ&"",Andros Hassey,ahassey3i@edu.com,Femenino,118"
aphipps3j,eS203_U2a/@~S>,Arlen Phipps,aphipps3j@edu.com,Femenino,16
"rwhyley3k,""hQ373meX=,O{P"",Rafaello Whyley,rwhyley3k@edu.com,Masculino,70"
mvalentim3l,zS896=cKK,Magdaia Valentim,mvalentim3l@edu.com,Masculino,103
mpaolucci3m,yY218e/fQ,Maxim Paolucci,mpaolucci3m@edu.com,Femenino,72
nroocroft3n,bK833gD*fvcP,Nessa Roocroft,nroocroft3n@edu.com,Femenino,64
ppudner3o,zW563OYScj8mG`!,Petey Pudner,ppudner3o@edu.com,Femenino,45
mscougall3p,vG068~4(pDlk#r,Mannie Scougall,mscougall3p@edu.com,Masculino,130
adanilchenko3q,nB757lD/5,Aubrie Danilchenko,adanilchenko3q@edu.com,Femenino,21
fcrate3r,tN162{eU*6CnN,Freddi Crate,fcrate3r@edu.com,Masculino,46
hle3s,zV571gaPSI&VQsg,Howey Le Blanc,hle3s@edu.com,Masculino,31
"hbragginton3t,""uT838""""0/DkUl$y"",Horton Bragginton,hbragginton3t@edu.com,Masculino,70"
rchallender3u,jS902FJxnO(St5hJ,Rodge Challender,rchallender3u@edu.com,Masculino,108
pwenman3v,tL156Ie%cbnoN=,Peter Wenman,pwenman3v@edu.com,Masculino,60
ncohen3w,sF6671D@/yY+q,Noreen Cohen,ncohen3w@edu.com,Masculino,137
ppinfold3x,bO144'g<KwfM'I`{,Portie Pinfold,ppinfold3x@edu.com,Femenino,37
dgleadhell3y,lF645*'s>`O2W5f?,Donella Gleadhell,dgleadhell3y@edu.com,Femenino,71
csneddon3z,eE407=8c,Charyl Sneddon,csneddon3z@edu.com,Femenino,45
ahalfpenny40,uA354EI'~1M},Abby Halfpenny,ahalfpenny40@edu.com,Femenino,108
brubinfeld41,vI6671Y\5,Billy Rubinfeld,brubinfeld41@edu.com,Masculino,4
rcolcutt42,oY547m1K3!P,Rabi Colcutt,rcolcutt42@edu.com,Femenino,105
tcanelas43,xC42808z,Thain Canelas,tcanelas43@edu.com,Femenino,107
mauchterlonie44,tE757x)ib,Muffin Auchterlonie,mauchterlonie44@edu.com,Masculino,84
"kthomke45,""lZ045Mv,h*}Fpd"",Kris Thomke,kthomke45@edu.com,Masculino,103"
jsouten46,wR170Jx~g>/,Joscelin Souten,jsouten46@edu.com,Femenino,92
cmcilhagga47,fV382}'s,Colleen McIlhagga,cmcilhagga47@edu.com,Masculino,13
pwolsey48,kZ345s0Z+qn@ligy,Portie Wolsey,pwolsey48@edu.com,Masculino,80
"churtado49,""lJ252Fsmg?+`=""""B+"",Crosby Hurtado,churtado49@edu.com,Masculino,136"
"csturney4a,""kA752*ml,*<O83"",Colman Sturney,csturney4a@edu.com,Masculino,137"
"dcasbon4b,""oP223T`,&(+V4zA"",Dmitri Casbon,dcasbon4b@edu.com,Femenino,77"
kdeath4c,jQ9169ZecjJR,Killie Death,kdeath4c@edu.com,Femenino,50
bvedeshkin4d,nY8674DQrNbTvrrP,Benetta Vedeshkin,bvedeshkin4d@edu.com,Femenino,25
hsarchwell4e,vA831F#e>,Hilliary Sarchwell,hsarchwell4e@edu.com,Masculino,10
wdaughtrey4f,oN590fjb(T~jnv64,Weber Daughtrey,wdaughtrey4f@edu.com,Masculino,113
ebiesinger4g,mS7680HT*,Ethelred Biesinger,ebiesinger4g@edu.com,Femenino,106
rpocock4h,kK752!e!KVo,Robena Pocock,rpocock4h@edu.com,Femenino,54
cbernardt4i,cK108~X7?GqW,Corella Bernardt,cbernardt4i@edu.com,Femenino,92
rbennell4j,oW613?nJ,Risa Bennell,rbennell4j@edu.com,Femenino,34
bdutson4k,mK96589\R8i`UL,Berta Dutson,bdutson4k@edu.com,Femenino,23
simpey4l,bX326(oII2=yCjP,Sonnie Impey,simpey4l@edu.com,Masculino,84
nterzza4m,fT289o1=sr4nPYcq,Nerty Terzza,nterzza4m@edu.com,Femenino,7
dgrigorkin4n,iU257t\}H{,Druci Grigorkin,dgrigorkin4n@edu.com,Femenino,93
jcollens4o,gA711rsoGA#WrE*,Jermain Collens,jcollens4o@edu.com,Femenino,141
rpiechnik4p,zV030\{A,Ruben Piechnik,rpiechnik4p@edu.com,Masculino,63
bmaclean4q,gT479i'Dr9<,Bronson Maclean,bmaclean4q@edu.com,Femenino,102
eveevers4r,gX969t?IoWf>I,Etty Veevers,eveevers4r@edu.com,Femenino,64
"ptreske4s,""pB5479,_'6"",Philipa Treske,ptreske4s@edu.com,Femenino,25"
mrivlin4t,nG182v=f1JW,Maude Rivlin,mrivlin4t@edu.com,Femenino,39
bcrump4u,hQ700'C{_QNz+,Brynna Crump,bcrump4u@edu.com,Masculino,141
"okroch4v,""bB986wJn,u9dQ$b4"",Orland Kroch,okroch4v@edu.com,Femenino,107"
lvogt4w,dA263o_+,Lil Vogt,lvogt4w@edu.com,Masculino,71
tsignore4x,wH639}!6c+?r,Teena Signore,tsignore4x@edu.com,Masculino,127
"tkasher4y,""kW9736q)""""bB82Ov\"",Tomi Kasher,tkasher4y@edu.com,Masculino,111"
kbrayley4z,vX718Rf7K.MiA,Keen Brayley,kbrayley4z@edu.com,Femenino,76
ademougeot50,tB107!j'43#9,Ariadne Demougeot,ademougeot50@edu.com,Masculino,34
aderell51,kH06773os3,Alyosha Derell,aderell51@edu.com,Masculino,77
istonall52,cT462BPjG3%op#D,Izabel Stonall,istonall52@edu.com,Masculino,46
ashuttle53,oX373.S`)|,Anthea Shuttle,ashuttle53@edu.com,Femenino,4
hdooland54,bL2188kf*U,Hilton Dooland,hdooland54@edu.com,Femenino,23
ablythin55,dA617>?nFrj,Amara Blythin,ablythin55@edu.com,Masculino,124
"tmair56,""yP631Q""""A%~Jg"",Tilda Mair,tmair56@edu.com,Femenino,69"
dstyan57,mB235z?g2eFFc&,Dino Styan,dstyan57@edu.com,Femenino,138
baspin58,tK260egKVVV/,Bartram Aspin,baspin58@edu.com,Masculino,92
rpepys59,jH6164uSVH,Ramon Pepys,rpepys59@edu.com,Masculino,143
nsexti5a,aY130{/Qzg2/1H7&,Nev Sexti,nsexti5a@edu.com,Femenino,83
"vfritchly5b,""zZ720""""PTlXZ"",Vic Fritchly,vfritchly5b@edu.com,Femenino,68"
fluetchford5c,iU039~yw,Fritz Luetchford,fluetchford5c@edu.com,Femenino,28
wkneeland5d,rO375_zY!i5g,Warden Kneeland,wkneeland5d@edu.com,Masculino,112
medgington5e,xU624XW3xoyFu9G,Meryl Edgington,medgington5e@edu.com,Femenino,104
rorteu5f,jJ987i@u&rmwb,Rudd Orteu,rorteu5f@edu.com,Femenino,4
cbowyer5g,rB560*e3ZjXt!f,Cristiano Bowyer,cbowyer5g@edu.com,Femenino,35
fdoogue5h,sX047Q=2_Fr,Frankie Doogue,fdoogue5h@edu.com,Masculino,83
lkarpol5i,tW916eEoFF@!(m,Laurent Karpol,lkarpol5i@edu.com,Masculino,139
mgoslin5j,cT544iNE,Maridel Goslin,mgoslin5j@edu.com,Femenino,115
jbolger5k,kC199fNt,Jeffy Bolger,jbolger5k@edu.com,Masculino,31
kportt5l,wE826j5Y3BB%,Karilynn Portt,kportt5l@edu.com,Femenino,26
rgrasha5m,lV834KPHbS\q,Rad Grasha,rgrasha5m@edu.com,Femenino,38
mcattlemull5n,fZ990Kb7D,Maryanne Cattlemull,mcattlemull5n@edu.com,Masculino,57
gstiegers5o,gT295pm`r6F'Ns21,Georgeta Stiegers,gstiegers5o@edu.com,Masculino,27
igilfether5p,sB1028L@dH?B,Ingram Gilfether,igilfether5p@edu.com,Masculino,96
mjosefsson5q,fJ322{Z@u_Q9O),Myron Josefsson,mjosefsson5q@edu.com,Femenino,121
hgrigori5r,rU294cO&C*T,Hilliary Grigori,hgrigori5r@edu.com,Masculino,104
mkarppi5s,iP994aJqftI,Minna Karppi,mkarppi5s@edu.com,Masculino,19
"dmewes5t,""kW710UG=L""""5xUsYT"",Dre Mewes,dmewes5t@edu.com,Femenino,144"
srohlf5u,sO795%t+PfG|5b,Stefa Rohlf,srohlf5u@edu.com,Masculino,113
sgarlant5v,gV494bgzRFB7,Sharon Garlant,sgarlant5v@edu.com,Masculino,66
dedowes5w,bV675I1N!I<(=b(,Deane Edowes,dedowes5w@edu.com,Femenino,34
rjerams5x,hJ6119EC.g_,Raleigh Jerams,rjerams5x@edu.com,Femenino,49
"mtredger5y,""nJ007""""&`"",Miner Tredger,mtredger5y@edu.com,Masculino,140"
abranigan5z,uJ429gT9@c,Adrian Branigan,abranigan5z@edu.com,Femenino,94
"cmakey60,""xX432n`!1,|"",Clari Makey,cmakey60@edu.com,Femenino,112"
mprettyjohn61,cH063+/p7reeM),Michele Prettyjohn,mprettyjohn61@edu.com,Femenino,140
nstowell62,yM767OO%!{7.YkR,Nadine Stowell,nstowell62@edu.com,Masculino,32
amudd63,nQ9874~0,Amabel Mudd,amudd63@edu.com,Femenino,28
acauderlie64,cB9751$H@HApzmo,Aubrey Cauderlie,acauderlie64@edu.com,Femenino,139
"kmelville65,""jM441}%y!Z,`P$Y"",Koo Melville,kmelville65@edu.com,Femenino,73"
ktrevers66,tS073`8kc,Kenn Trevers,ktrevers66@edu.com,Femenino,116
"jyeude67,""cC752&YM\4,T"",Jill Yeude,jyeude67@edu.com,Femenino,106"
dpaynton68,gD564X5ZHn,Dionisio Paynton,dpaynton68@edu.com,Masculino,126
routridge69,xZ200PV0K<MNx%,Remington Outridge,routridge69@edu.com,Masculino,83
dbruhnicke6a,iO883jbBYk,Daveta Bruhnicke,dbruhnicke6a@edu.com,Masculino,136
ghelstrom6b,yJ327Hdq.1%,Gibb Helstrom,ghelstrom6b@edu.com,Masculino,123
gbraker6c,nS989?s~Kqm~GY,Gusty Braker,gbraker6c@edu.com,Masculino,128
mbeatey6d,vL100Tb1!HI,Mayne Beatey,mbeatey6d@edu.com,Masculino,54
ihewes6e,dW726l8QW\nOFqwZ,Isobel Hewes,ihewes6e@edu.com,Femenino,69
rmeakin6f,zI051m~l##h<%,Rosella Meakin,rmeakin6f@edu.com,Masculino,46
cbogey6g,qH964\2@Bc31T,Cayla Bogey,cbogey6g@edu.com,Femenino,65
"bmayston6h,""kB987#Wj4,"",Burlie Mayston,bmayston6h@edu.com,Masculino,112"
gtaffe6i,nX864Dx4Az,Gipsy Taffe,gtaffe6i@edu.com,Masculino,10
mchawkley6j,iF074h=W,Miran Chawkley,mchawkley6j@edu.com,Femenino,106
"echopy6k,""dB065GaOXf""""x"",Euell Chopy,echopy6k@edu.com,Masculino,43"
hrundle6l,fL593*{a7GI$,Hyacinthia Rundle,hrundle6l@edu.com,Masculino,138
mbrassill6m,tM209G\>oo,Millisent Brassill,mbrassill6m@edu.com,Femenino,110
"ifranies6n,""zK300YEWVkKu"""""",Idette Franies,ifranies6n@edu.com,Masculino,110"
smcnaught6o,hQ052k~I)T2y,Shalom McNaught,smcnaught6o@edu.com,Masculino,57
"dcaruth6p,""oT983.GEC""""0SuB"",Davy Caruth,dcaruth6p@edu.com,Femenino,9"
hdmiterko6q,lH9587+}i,Harrison Dmiterko,hdmiterko6q@edu.com,Femenino,107
hlieb6r,wH751frxl9LQK>,Holli Lieb,hlieb6r@edu.com,Masculino,46
tgobbett6s,qW458e%HC&A+,Thalia Gobbett,tgobbett6s@edu.com,Masculino,15
pwedge6t,mH339tC\a#?p,Pamelina Wedge,pwedge6t@edu.com,Masculino,28
cdevereux6u,xJ944d_w(\@rwW0,Chelsie Devereux,cdevereux6u@edu.com,Femenino,61
htalman6v,pC055uol*J<h,Heather Talman,htalman6v@edu.com,Masculino,141
thuddleston6w,iZ028e2A@R,Trefor Huddleston,thuddleston6w@edu.com,Masculino,10
slecky6x,jR275FN\F>,Stephan Lecky,slecky6x@edu.com,Masculino,88
cmoncey6y,zA991G(nLLWiP,Claudia Moncey,cmoncey6y@edu.com,Femenino,142
tnutter6z,wO383nKdIS%,Tiffany Nutter,tnutter6z@edu.com,Femenino,38
jpraundl70,vA989BA_cFLjx8),Jennie Praundl,jpraundl70@edu.com,Femenino,105
hneles71,cB803<mP6?x?,Humfried Neles,hneles71@edu.com,Femenino,33
wrupprecht72,gF098=a/,Waring Rupprecht,wrupprecht72@edu.com,Femenino,64
"fupchurch73,""mA599)Q,J_"",Fletch Upchurch,fupchurch73@edu.com,Femenino,143"
dlever74,cI578FKpiM{,Danella Lever,dlever74@edu.com,Masculino,100
ashadrach75,zA659E.4G,Anneliese Shadrach,ashadrach75@edu.com,Masculino,33
jjacmard76,tC2990vK,Janeczka Jacmard,jjacmard76@edu.com,Femenino,8
"jstuddard77,""aK904R*.u,ynV6"",Jacques Studdard,jstuddard77@edu.com,Femenino,71"
tmacilhagga78,nB237ogzP,Theresa MacIlhagga,tmacilhagga78@edu.com,Masculino,141
fpaulig79,bF287_|mSEGptx3,Faunie Paulig,fpaulig79@edu.com,Femenino,92
nshaul7a,yT697s7})>|+u,Nerte Shaul,nshaul7a@edu.com,Femenino,87
mgaytor7b,eK500y?DD,Marty Gaytor,mgaytor7b@edu.com,Femenino,138
adyter7c,lL939s2}d4',Ardenia Dyter,adyter7c@edu.com,Femenino,68
megiloff7d,oJ566UvhPub,Melessa Egiloff,megiloff7d@edu.com,Masculino,65
"adoe7e,""jL944h,NB"",Atlanta Doe,adoe7e@edu.com,Masculino,142"
gsirette7f,pQ886E0nk(m$EJqc,Georgena Sirette,gsirette7f@edu.com,Femenino,59
cainscow7g,hA014U7mRU}w,Charmion Ainscow,cainscow7g@edu.com,Masculino,15
"swigan7h,""qV4991w#7k""""(C_"",Scotti Wigan,swigan7h@edu.com,Masculino,100"
bdungay7i,hZ906%/F&R,Bayard Dungay,bdungay7i@edu.com,Masculino,120
"tvan7j,""xO337L,9p"",Theadora Van T'Hoog,tvan7j@edu.com,Masculino,43"
"hyerby7k,""fK312""""FkDX=)X(j"",Hadleigh Yerby,hyerby7k@edu.com,Masculino,89"
bfernez7l,wT965adS|~N,Budd Fernez,bfernez7l@edu.com,Femenino,128
ggianuzzi7m,yZ630?3$WqyT,Garret Gianuzzi,ggianuzzi7m@edu.com,Femenino,7
hpawlett7n,nK682dX%X,Holly-anne Pawlett,hpawlett7n@edu.com,Masculino,101
"rschubbert7o,""nO153.5Ptw""""bn=Ni"",Robert Schubbert,rschubbert7o@edu.com,Masculino,48"
amowat7p,pT927|rqO,Amelita Mowat,amowat7p@edu.com,Masculino,98
rscourgie7q,cO640jF$TMN,Rey Scourgie,rscourgie7q@edu.com,Femenino,44
mcrebott7r,wC740PMmMy),Malachi Crebott,mcrebott7r@edu.com,Masculino,15
fhoulden7s,oJ897vTLr0E6ATL,Fara Houlden,fhoulden7s@edu.com,Masculino,141
csmale7t,fG085Hl>l#~4u!,Callean Smale,csmale7t@edu.com,Masculino,52
"dglaves7u,""pI288R2m!l,"",Duffy Glaves,dglaves7u@edu.com,Masculino,51"
ecasaccio7v,gT008<ZvGmXZ#`S,Emelen Casaccio,ecasaccio7v@edu.com,Masculino,127
cgittose7w,dG275(eR$,Carlyn Gittose,cgittose7w@edu.com,Femenino,79
lbemand7x,hH167Lpo8hFNn@,Lola Bemand,lbemand7x@edu.com,Femenino,121
shoundson7y,lC975(?%&w#,Shurlocke Houndson,shoundson7y@edu.com,Masculino,22
efeedome7z,gX263{W/V)<I,Eilis Feedome,efeedome7z@edu.com,Femenino,14
ebaruch80,fI324hau}O,Erina Baruch,ebaruch80@edu.com,Femenino,77
ydethloff81,zZ973PloK,Yovonnda Dethloff,ydethloff81@edu.com,Femenino,28
jpottinger82,kJ209nM'(}V{5I5,Janela Pottinger,jpottinger82@edu.com,Femenino,55
