nombreCurso,grupo,profesor,nota,periodo,nombreEstudiante,correoEstudiante
Electiva de  Ciencias Sociales,2,Illa McGunley,0.2,2023-1,Robinet Nendick,rnendick1i@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,0.2,2023-1,Jeniece Sinnett,jsinnett1j@edu.com
Ingles 2,3,Teodoro Giorgeschi,0.8,2021-3,Royal Habbes,rhabbes1k@edu.com
Ingles 2,3,Teodoro Giorgeschi,0.8,2021-3,Dominga Brookesbie,dbrookesbie1l@edu.com
Ingles 2,3,Teodoro Giorgeschi,0.8,2021-3,Dacey Soares,dsoares1m@edu.com
Ingles 2,3,Teodoro Giorgeschi,0.8,2021-3,Franky Flanne,fflanne1n@edu.com
Algebra lineal,1,Hynda Van Velde,2.4,2023-1,Jenilee Padkin,jpadkin1o@edu.com
Algebra lineal,1,Hynda Van Velde,2.4,2023-1,Gillie Oleszkiewicz,goleszkiewicz1p@edu.com
Algebra lineal,1,Hynda Van Velde,2.4,2023-1,Bo Enric,benric1q@edu.com
Algebra lineal,1,Hynda Van Velde,2.4,2023-1,Caroline Degli Antoni,cdegli1r@edu.com
Calculo 1,2,Cordula Dugget,1.4,2021-3,Sayre Adanet,sadanet1s@edu.com
Calculo 1,2,Cordula Dugget,1.4,2021-3,Rebekah Rosedale,rrosedale1t@edu.com
Calculo 1,2,Cordula Dugget,1.4,2021-3,Lynnett Servant,lservant1u@edu.com
Calculo 1,2,Cordula Dugget,1.4,2021-3,Blinny Grabham,bgrabham1v@edu.com
Programacion,2,Brande Doonican,2.9,2021-3,Lucina MacKerley,lmackerley1w@edu.com
Programacion,2,Brande Doonican,2.9,2021-3,Horst Dowling,hdowling1x@edu.com
Programacion,2,Brande Doonican,2.9,2021-3,Beniamino Teasdale-Markie,bteasdalemarkie1y@edu.com
Programacion,2,Brande Doonican,2.9,2021-3,Nevin Masson,nmasson1z@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,1.8,2022-3,Demeter Piccard,dpiccard20@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,1.8,2022-3,Faber Paskin,fpaskin21@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,1.8,2022-3,Debby Thow,dthow22@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,1.8,2022-3,Waneta Woolger,wwoolger23@edu.com
Algebra lineal,3,Amby Smaile,3.1,2021-3,Morgan Riolfi,mriolfi24@edu.com
Algebra lineal,3,Amby Smaile,3.1,2021-3,Hedi Fitzsimons,hfitzsimons25@edu.com
Algebra lineal,3,Amby Smaile,3.1,2021-3,Hermon Davydochkin,hdavydochkin26@edu.com
Algebra lineal,3,Amby Smaile,3.1,2021-3,Lynea Baugham,lbaugham27@edu.com
Ingles 2,2,Fulvia Gravells,3.6,2022-3,Ania Dudmarsh,adudmarsh28@edu.com
Ingles 2,2,Fulvia Gravells,3.6,2022-3,Claiborn Salmons,csalmons29@edu.com
Ingles 2,2,Fulvia Gravells,3.6,2022-3,Inna Parnell,iparnell2a@edu.com
Ingles 2,2,Fulvia Gravells,3.6,2022-3,Tedd Toppin,ttoppin2b@edu.com
Electiva profesional 4,2,Karisa Upshall,3.7,2022-1,Gwenni Clevely,gclevely2c@edu.com
Electiva profesional 4,2,Karisa Upshall,3.7,2022-1,Kat McLeman,kmcleman2d@edu.com
Electiva profesional 4,2,Karisa Upshall,3.7,2022-1,Elyssa Rolston,erolston2e@edu.com
Electiva profesional 4,2,Karisa Upshall,3.7,2022-1,Saw Foister,sfoister2f@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,0.4,2022-3,Dwight Hamley,dhamley2g@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,0.4,2022-3,Hershel Yezafovich,hyezafovich2h@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,0.4,2022-3,Deina Eallis,deallis2i@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,0.4,2022-3,Del Etherson,detherson2j@edu.com
Matematicas Fundamentales,2,Obediah Worland,0.6,2023-1,Janot Taffurelli,jtaffurelli2k@edu.com
Matematicas Fundamentales,2,Obediah Worland,0.6,2023-1,Torie Menaul,tmenaul2l@edu.com
Matematicas Fundamentales,2,Obediah Worland,0.6,2023-1,Domenico Evemy,devemy2m@edu.com
Matematicas Fundamentales,2,Obediah Worland,0.6,2023-1,Jemmy Latch,jlatch2n@edu.com
Electiva profesional 4,2,Karisa Upshall,4.2,2021-1,Glyn Heinz,gheinz2o@edu.com
Electiva profesional 4,2,Karisa Upshall,4.2,2021-1,Lucinda Danev,ldanev2p@edu.com
Electiva profesional 4,2,Karisa Upshall,4.2,2021-1,Clara Cuerda,ccuerda2q@edu.com
Electiva profesional 4,2,Karisa Upshall,4.2,2021-1,Stella Cordery,scordery2r@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,0.9,2022-3,Kenna Oliver-Paull,koliverpaull2s@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,0.9,2022-3,Archambault Bethel,abethel2t@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,0.9,2022-3,Smith Barrass,sbarrass2u@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,0.9,2022-3,Eadmund Dabernott,edabernott2v@edu.com
Seminario de Ing. de Datos e IA,3,Neel Irlam,4.1,2021-3,Norma Chilton,nchilton2w@edu.com
Seminario de Ing. de Datos e IA,3,Neel Irlam,4.1,2021-3,Simon Rubenov,srubenov2x@edu.com
Seminario de Ing. de Datos e IA,3,Neel Irlam,4.1,2021-3,Osmond Pedden,opedden2y@edu.com
Seminario de Ing. de Datos e IA,3,Neel Irlam,4.1,2021-3,Robinson Kleiser,rkleiser2z@edu.com
Electiva Profesional 2,1,Raimundo Lonsdale,1.7,2023-3,Mariam Halgarth,mhalgarth30@edu.com
Electiva Profesional 2,1,Raimundo Lonsdale,1.7,2023-3,Genovera Favey,gfavey31@edu.com
Electiva Profesional 2,1,Raimundo Lonsdale,1.7,2023-3,Niven Bolderoe,nbolderoe32@edu.com
Electiva Profesional 2,1,Raimundo Lonsdale,1.7,2023-3,Briana Bremmer,bbremmer33@edu.com
Ingles 1,1,Falkner Brettell,0.2,2021-3,Dayle Lippiello,dlippiello34@edu.com
Ingles 1,1,Falkner Brettell,0.2,2021-3,Laurie Booth-Jarvis,lboothjarvis35@edu.com
Ingles 1,1,Falkner Brettell,0.2,2021-3,Marabel Quakley,mquakley36@edu.com
Ingles 1,1,Falkner Brettell,0.2,2021-3,Doy Aleksidze,daleksidze37@edu.com
Comunicación Oral y Escrita,2,Marthena Bearman,3.9,2022-3,Bren Carabine,bcarabine38@edu.com
Comunicación Oral y Escrita,2,Marthena Bearman,3.9,2022-3,Rose Bonnesen,rbonnesen39@edu.com
Comunicación Oral y Escrita,2,Marthena Bearman,3.9,2022-3,Kylie Minshall,kminshall3a@edu.com
Comunicación Oral y Escrita,2,Marthena Bearman,3.9,2022-3,Sutherlan Coggins,scoggins3b@edu.com
Ingles 1,3,Johan Learmond,4.2,2021-1,Libbey Vannozzii,lvannozzii3c@edu.com
Ingles 1,3,Johan Learmond,4.2,2021-1,Allen Wareham,awareham3d@edu.com
Ingles 1,3,Johan Learmond,4.2,2021-1,Wilbert Potteridge,wpotteridge3e@edu.com
Ingles 1,3,Johan Learmond,4.2,2021-1,Ronna Guilaem,rguilaem3f@edu.com
Legislacion y Etica en el Manejo de Datos,3,Nevile Openshaw,2.1,2021-1,Evita McIlory,emcilory3g@edu.com
Legislacion y Etica en el Manejo de Datos,3,Nevile Openshaw,2.1,2021-1,Neely Binton,nbinton3h@edu.com
Legislacion y Etica en el Manejo de Datos,3,Nevile Openshaw,2.1,2021-1,Payton Croysdale,pcroysdale3i@edu.com
Legislacion y Etica en el Manejo de Datos,3,Nevile Openshaw,2.1,2021-1,Reine Crumley,rcrumley3j@edu.com
Electiva Libre I,3,Odessa Scotchbourouge,4.3,2021-3,Antonio Cutford,acutford3k@edu.com
Electiva Libre I,3,Odessa Scotchbourouge,4.3,2021-3,Gerhardine Deverick,gdeverick3l@edu.com
Electiva Libre I,3,Odessa Scotchbourouge,4.3,2021-3,Michaelina Olekhov,molekhov3m@edu.com
Electiva Libre I,3,Odessa Scotchbourouge,4.3,2021-3,Gaven Orbine,gorbine3n@edu.com
Electiva Profesional 1,2,Jaquelyn Vayro,4.1,2021-3,Durante Shoutt,dshoutt3o@edu.com
Electiva Profesional 1,2,Jaquelyn Vayro,4.1,2021-3,Giselbert Whacket,gwhacket3p@edu.com
Electiva Profesional 1,2,Jaquelyn Vayro,4.1,2021-3,Rudyard Symes,rsymes3q@edu.com
Electiva Profesional 1,2,Jaquelyn Vayro,4.1,2021-3,Eal Furse,efurse3r@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,4.3,2021-1,Xena Pettit,xpettit3s@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,4.3,2021-1,Effie Girardey,egirardey3t@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,4.3,2021-1,Paulo Hanselmann,phanselmann3u@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,4.3,2021-1,Brock Blaschek,bblaschek3v@edu.com
Analitica de Datos,3,Rosalinde Warbey,2.8,2023-1,Al MacKomb,amackomb3w@edu.com
Analitica de Datos,3,Rosalinde Warbey,2.8,2023-1,Lay Hammett,lhammett3x@edu.com
Analitica de Datos,3,Rosalinde Warbey,2.8,2023-1,Merline Mordaunt,mmordaunt3y@edu.com
Analitica de Datos,3,Rosalinde Warbey,2.8,2023-1,Salmon Bantick,sbantick3z@edu.com
Estadistica y Probabilidad II,1,Florina Sandlin,3.6,2023-1,Barrett Grima,bgrima40@edu.com
Estadistica y Probabilidad II,1,Florina Sandlin,3.6,2023-1,Cletus Domange,cdomange41@edu.com
Estadistica y Probabilidad II,1,Florina Sandlin,3.6,2023-1,Lonni Strowther,lstrowther42@edu.com
Estadistica y Probabilidad II,1,Florina Sandlin,3.6,2023-1,Devy Zottoli,dzottoli43@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,1.5,2022-3,Glynis Rydings,grydings44@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,1.5,2022-3,Kelsi Parratt,kparratt45@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,1.5,2022-3,Shelli Perassi,sperassi46@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,1.5,2022-3,Ram Ewer,rewer47@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.3,2022-3,Hew Tanfield,htanfield48@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.3,2022-3,Klara Gemeau,kgemeau49@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.3,2022-3,Eugenie Buglar,ebuglar4a@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.3,2022-3,Lolita Winfred,lwinfred4b@edu.com
Transformacion y Carga),1,Kathy Hake,4.9,2021-1,Bella Ailmer,bailmer4c@edu.com
Transformacion y Carga),1,Kathy Hake,4.9,2021-1,Rurik Suter,rsuter4d@edu.com
Transformacion y Carga),1,Kathy Hake,4.9,2021-1,Julieta O'Mannion,jomannion4e@edu.com
Transformacion y Carga),1,Kathy Hake,4.9,2021-1,Brand Allington,ballington4f@edu.com
Electiva Profesional 2,3,Gav Bocock,3.9,2023-3,Sherwood Iddiens,siddiens4g@edu.com
Electiva Profesional 2,3,Gav Bocock,3.9,2023-3,Wolfie Ricioppo,wricioppo4h@edu.com
Electiva Profesional 2,3,Gav Bocock,3.9,2023-3,Consuelo Pendlington,cpendlington4i@edu.com
Electiva Profesional 2,3,Gav Bocock,3.9,2023-3,Latrina Menloe,lmenloe4j@edu.com
Sistemas Operativos,1,Josy Hendrich,3.5,2023-1,Cariotta Cristobal,ccristobal4k@edu.com
Sistemas Operativos,1,Josy Hendrich,3.5,2023-1,Heinrik Hemphrey,hhemphrey4l@edu.com
Sistemas Operativos,1,Josy Hendrich,3.5,2023-1,Stefania Simonazzi,ssimonazzi4m@edu.com
Sistemas Operativos,1,Josy Hendrich,3.5,2023-1,Andie Caseley,acaseley4n@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,0.4,2022-3,Tammy Hicks,thicks4o@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,0.4,2022-3,Tucker Streatley,tstreatley4p@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,0.4,2022-3,Hobie Ghelerdini,hghelerdini4q@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,0.4,2022-3,Bruno Russe,brusse4r@edu.com
Electiva de  Ciencias Sociales,1,Marthena Bearman,4.3,2021-3,Letitia Heugh,lheugh4s@edu.com
Electiva de  Ciencias Sociales,1,Marthena Bearman,4.3,2021-3,Warden Tremellier,wtremellier4t@edu.com
Electiva de  Ciencias Sociales,1,Marthena Bearman,4.3,2021-3,Joni Rosenqvist,jrosenqvist4u@edu.com
Electiva de  Ciencias Sociales,1,Marthena Bearman,4.3,2021-3,Sherilyn Bladon,sbladon4v@edu.com
Programacion,3,Kissee Giovani,4.7,2021-1,Doro Sames,dsames4w@edu.com
Programacion,3,Kissee Giovani,4.7,2021-1,Aurthur Gallaway,agallaway4x@edu.com
Programacion,3,Kissee Giovani,4.7,2021-1,Jermaine Fold,jfold4y@edu.com
Programacion,3,Kissee Giovani,4.7,2021-1,Aime Baccas,abaccas4z@edu.com
Calculo 2,3,Germaine Nary,0.1,2022-3,Seamus Ferrino,sferrino50@edu.com
Calculo 2,3,Germaine Nary,0.1,2022-3,Homer Veivers,hveivers51@edu.com
Calculo 2,3,Germaine Nary,0.1,2022-3,Teddi Fellibrand,tfellibrand52@edu.com
Calculo 2,3,Germaine Nary,0.1,2022-3,Anastassia Chalfain,achalfain53@edu.com
Ingles 3,1,Marisa Ellesmere,0.2,2023-1,Maxine Petronis,mpetronis54@edu.com
Ingles 3,1,Marisa Ellesmere,0.2,2023-1,Trudey Purchall,tpurchall55@edu.com
Ingles 3,1,Marisa Ellesmere,0.2,2023-1,Kayla Choffin,kchoffin56@edu.com
Ingles 3,1,Marisa Ellesmere,0.2,2023-1,Rik Gallear,rgallear57@edu.com
Calculo 2,2,Rina Gasnoll,0.4,2023-3,Meggy MacTimpany,mmactimpany58@edu.com
Calculo 2,2,Rina Gasnoll,0.4,2023-3,Terencio Callander,tcallander59@edu.com
Calculo 2,2,Rina Gasnoll,0.4,2023-3,Faydra Crier,fcrier5a@edu.com
Calculo 2,2,Rina Gasnoll,0.4,2023-3,Shaina Ritchings,sritchings5b@edu.com
Calculo 2,1,Norrie Yarrington,3.4,2021-1,Carol Conrart,cconrart5c@edu.com
Calculo 2,1,Norrie Yarrington,3.4,2021-1,Nanni Sherwill,nsherwill5d@edu.com
Calculo 2,1,Norrie Yarrington,3.4,2021-1,Teodoro Filshin,tfilshin5e@edu.com
Calculo 2,1,Norrie Yarrington,3.4,2021-1,Cos Brazenor,cbrazenor5f@edu.com
Seminario de Ing. de Datos e IA,1,Bartholemy Pavese,0.5,2022-1,Myriam Baulch,mbaulch5g@edu.com
Seminario de Ing. de Datos e IA,1,Bartholemy Pavese,0.5,2022-1,Alvy Floyde,afloyde5h@edu.com
Seminario de Ing. de Datos e IA,1,Bartholemy Pavese,0.5,2022-1,Clevey Skeffington,cskeffington5i@edu.com
Seminario de Ing. de Datos e IA,1,Bartholemy Pavese,0.5,2022-1,Kristen Dimic,kdimic5j@edu.com
Ingenieria y Sostenibilidad,2,Genevieve Reijmers,1.5,2022-3,Tyson Magauran,tmagauran5k@edu.com
Ingenieria y Sostenibilidad,2,Genevieve Reijmers,1.5,2022-3,Asa Iacopetti,aiacopetti5l@edu.com
Ingenieria y Sostenibilidad,2,Genevieve Reijmers,1.5,2022-3,Robby Barkshire,rbarkshire5m@edu.com
Ingenieria y Sostenibilidad,2,Genevieve Reijmers,1.5,2022-3,Muffin Buckthorpe,mbuckthorpe5n@edu.com
ETL (Extraccion,2,Glendon Barnett,4.4,2023-3,Rock Goby,rgoby5o@edu.com
ETL (Extraccion,2,Glendon Barnett,4.4,2023-3,Sondra Etock,setock5p@edu.com
ETL (Extraccion,2,Glendon Barnett,4.4,2023-3,Gwendolin Chesnut,gchesnut5q@edu.com
ETL (Extraccion,2,Glendon Barnett,4.4,2023-3,Benedicto Freire,bfreire5r@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Bernetta Bentinck,4.0,2022-3,Floris Echalier,fechalier5s@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Bernetta Bentinck,4.0,2022-3,Onofredo Duferie,oduferie5t@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Bernetta Bentinck,4.0,2022-3,Bealle Onslow,bonslow5u@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,Bernetta Bentinck,4.0,2022-3,Dee Eversley,deversley5v@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.1,2021-3,D'arcy Lennox,dlennox5w@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.1,2021-3,Tab Pelosi,tpelosi5x@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.1,2021-3,Mechelle Dytham,mdytham5y@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.1,2021-3,Heywood Roskell,hroskell5z@edu.com
ETL (Extraccion,3,Melba O'Leary,2.4,2023-3,Irvine Lemm,ilemm60@edu.com
ETL (Extraccion,3,Melba O'Leary,2.4,2023-3,Davis Hallums,dhallums61@edu.com
ETL (Extraccion,3,Melba O'Leary,2.4,2023-3,Guido Eastlake,geastlake62@edu.com
ETL (Extraccion,3,Melba O'Leary,2.4,2023-3,Spenser Antonioni,santonioni63@edu.com
Electiva Profesional 2,2,Sharona Di Nisco,4.1,2022-1,Price MacQueen,pmacqueen64@edu.com
Electiva Profesional 2,2,Sharona Di Nisco,4.1,2022-1,Tove Rollin,trollin65@edu.com
Electiva Profesional 2,2,Sharona Di Nisco,4.1,2022-1,Chrissy Bourthoumieux,cbourthoumieux66@edu.com
Electiva Profesional 2,2,Sharona Di Nisco,4.1,2022-1,Susi Cunningham,scunningham67@edu.com
Legislacion y Etica en el Manejo de Datos,1,Jaquelyn Vayro,3.9,2021-3,Cherish Thom,cthom68@edu.com
Legislacion y Etica en el Manejo de Datos,1,Jaquelyn Vayro,3.9,2021-3,Carissa Pero,cpero69@edu.com
Legislacion y Etica en el Manejo de Datos,1,Jaquelyn Vayro,3.9,2021-3,Tait Sanz,tsanz6a@edu.com
Legislacion y Etica en el Manejo de Datos,1,Jaquelyn Vayro,3.9,2021-3,Kalila Zamorrano,kzamorrano6b@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.6,2021-1,Valentine Dufer,vdufer6c@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.6,2021-1,Inglebert Cripin,icripin6d@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.6,2021-1,Rochette Burgoyne,rburgoyne6e@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.6,2021-1,Joline Bram,jbram6f@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,2.3,2022-3,Ardis Algore,aalgore6g@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,2.3,2022-3,Tessi Clancey,tclancey6h@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,2.3,2022-3,Keslie Kobiera,kkobiera6i@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,2.3,2022-3,Wilbert Morris,wmorris6j@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,1.8,2021-1,Rickert Andriessen,randriessen6k@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,1.8,2021-1,Zebadiah Drewry,zdrewry6l@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,1.8,2021-1,Ronalda Povall,rpovall6m@edu.com
Formacion Ciudadana II: Sociedad y Estado,1,Violante Hartin,1.8,2021-1,Carr Christin,cchristin6n@edu.com
Formacion Ciudadana III: Paz y Convivencia,1,Tanitansy Dwine,2.3,2022-1,Annabela Syddall,asyddall6o@edu.com
Formacion Ciudadana III: Paz y Convivencia,1,Tanitansy Dwine,2.3,2022-1,Yasmin Docker,ydocker6p@edu.com
Formacion Ciudadana III: Paz y Convivencia,1,Tanitansy Dwine,2.3,2022-1,Aeriel Iremonger,airemonger6q@edu.com
Formacion Ciudadana III: Paz y Convivencia,1,Tanitansy Dwine,2.3,2022-1,Noe Philipson,nphilipson6r@edu.com
Ingles 1,1,Falkner Brettell,4.8,2022-1,Verile Masey,vmasey6s@edu.com
Ingles 1,1,Falkner Brettell,4.8,2022-1,Daphna Battle,dbattle6t@edu.com
Ingles 1,1,Falkner Brettell,4.8,2022-1,Rozele Pegram,rpegram6u@edu.com
Ingles 1,1,Falkner Brettell,4.8,2022-1,Natty Wyke,nwyke6v@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,0.2,2022-1,Raquela Dimmack,rdimmack6w@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,0.2,2022-1,Baron Skerman,bskerman6x@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,0.2,2022-1,Corbie Aburrow,caburrow6y@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,0.2,2022-1,Ninnette McCourt,nmccourt6z@edu.com
Estadistica y Probabilidad I,2,Sabra Ethersey,2.1,2021-1,Rhody Mathivat,rmathivat70@edu.com
Estadistica y Probabilidad I,2,Sabra Ethersey,2.1,2021-1,Barby Folk,bfolk71@edu.com
Estadistica y Probabilidad I,2,Sabra Ethersey,2.1,2021-1,Jill Haggleton,jhaggleton72@edu.com
