usuario,contrasena,rol,nombre,correo,ultimoGradoDeFormacion
"cszymoni3z","eP838W/>","Profesor","Clari Szymoni","cszymoni3z@edu.com","Doctorado"
"ctatnell3j","wP507nY($","Profesor","Charlotta Tatnell","ctatnell3j@edu.com","Maestria"
"cyurmanovev4d","fZ960?(EW","Profesor","Casie Yurmanovev","cyurmanovev4d@edu.com","Especializacion"
"daughtonh","xL035mG<FZ6<","Profesor","Dell Aughton","daughtonh@edu.com","Pregrado"
"dbjorkan1j","oN215y$x9","Profesor","Dorian Bjorkan","dbjorkan1j@edu.com","Pregrado"
"dcatmull8","bA5586y_","Profesor","Dell Catmull","dcatmull8@edu.com","Maestria"
"dfollitt1p","eQ113&|}>","Profesor","Daisy Follitt","dfollitt1p@edu.com","Maestria"
"dgartside3u","pU8816hL&#","Profesor","Durante Gartside","dgartside3u@edu.com","Maestria"
"dgayton4u","eA910wR8GLI","Profesor","Del Gayton","dgayton4u@edu.com","Doctorado"
"dhulburt1z","eR764qoO4+#p0U_","Profesor","Duane Hulburt","dhulburt1z@edu.com","Especializacion"
"director","1234","Director","Ana Maria Lopez","director@edu.com","Doctorado"
"dneal4b","xO7860}LX_B#r","Profesor","Dav Neal","dneal4b@edu.com","Maestria"
"dvedeneev35","hS2610c?c)","Profesor","Dido Vedeneev","dvedeneev35@edu.com","Maestria"
"eavrahamovd","kC4413pDr=gjrf","Profesor","Elsie Avrahamov","eavrahamovd@edu.com","Maestria"
"ebaumler9","cC501pMup","Profesor","Elaina Baumler","ebaumler9@edu.com","Doctorado"
"ebruggen3h","aY006(Wz(0m*|Pes","Profesor","Erena Bruggen","ebruggen3h@edu.com","Maestria"
"efilippo7","rA689w2z","Profesor","Elisabet Filippo","efilippo7@edu.com","Pregrado"
"eforox","fT462/Y6<*","Profesor","Edith Foro","eforox@edu.com","Maestria"
"eharman21","hY210>}N&1MwK}","Profesor","Esther Harman","eharman21@edu.com","Pregrado"
"fbrettell3","dN2708re{8s._le7","Profesor","Falkner Brettell","fbrettell3@edu.com","Pregrado"
"fferrant2d","lX1941{nH{","Profesor","Franky Ferrant","fferrant2d@edu.com","Doctorado"
"fgravells1t","fJ243R<R@YL","Profesor","Fulvia Gravells","fgravells1t@edu.com","Maestria"
"fjorden3e","wU738PtG&<","Profesor","Franchot Jorden","fjorden3e@edu.com","Maestria"
"flavilleq","eC751L}?~ECixh","Profesor","Fayette Laville","flavilleq@edu.com","Doctorado"
"fpalatino3b","gF410c!E_UBIc","Profesor","Freud Palatino","fpalatino3b@edu.com","Maestria"
"fsandlin3t","iJ192~Wuwx","Profesor","Florina Sandlin","fsandlin3t@edu.com","Especializacion"
"fsimoensv","zT341)(K6","Profesor","Florance Simoens","fsimoensv@edu.com","Maestria"
"gbarnettm","sD143=a0>H526$2","Profesor","Glendon Barnett","gbarnettm@edu.com","Doctorado"
"gblanko4t","wV009Hgou.RV","Profesor","Gare Blanko","gblanko4t@edu.com","Maestria"
"gbocock28","yI805&KRp","Profesor","Gav Bocock","gbocock28@edu.com","Pregrado"
"gdrought3y","fI594_yIPG=2","Profesor","Giffard Drought","gdrought3y@edu.com","Especializacion"
"gforde53","mU100}PUJ","Profesor","Garv Forde","gforde53@edu.com","Maestria"
"ggoomes3n","zR465+z@tbq/P","Profesor","Ginger Goomes","ggoomes3n@edu.com","Bachiller"
"gnary13","yB150b23flj<48L","Profesor","Germaine Nary","gnary13@edu.com","Bachiller"
"gostick2i","bV4814QaA_jXYX$s","Profesor","Gawen Ostick","gostick2i@edu.com","Doctorado"
"govens1h","iK373u5Kep@)3?","Profesor","Griz Ovens","govens1h@edu.com","Maestria"
"gpawlicki54","qV9767>aFn@","Profesor","Glenn Pawlicki","gpawlicki54@edu.com","Pregrado"
"gpeachman2u","kL7063NEzsUzV!7","Profesor","Gib Peachman","gpeachman2u@edu.com","Doctorado"
"greijmers4s","mG906Xlf","Profesor","Genevieve Reijmers","greijmers4s@edu.com","Maestria"
"hbande31","dC757<>&}H1","Profesor","Hamlen Bande","hbande31@edu.com","Bachiller"
"hfinchamc","yJ7258/ZdnQ.@","Profesor","Huntington Fincham","hfinchamc@edu.com","Maestria"
"hkarlowicz3o","gE053y)","Profesor","Hobey Karlowicz","hkarlowicz3o@edu.com","Pregrado"
"hmacco\
naghy3m","wI216$m5_+UC","Profesor","Hollyanne Macconaghy","hmacconaghy3m@edu.com","Maestria"
"hmatkovic3l","mG436|uG","Profesor","Hyacinth Matkovic","hmatkovic3l@edu.com","Pregrado"
"hstrand4q","dF19053e","Profesor","Hinze Strand","hstrand4q@edu.com","Pregrado"
"hsuermeier3c","bO194OEg.Mlo(@2s","Profesor","Horacio Suermeier","hsuermeier3c@edu.com","Bachiller"
"hvani","cC104BxFg","Profesor","Hynda Van Velde","hvani@edu.com","Bachiller"
"ileas1v","sB043Lm4AGW{T","Profesor","Isabelle Leas","ileas1v@edu.com","Doctorado"
"imcgunley3q","tN845Mab+$/&hs","Profesor","Illa McGunley","imcgunley3q@edu.com","Pregrado"
"jasipenko44","wT773T=Ne","Profesor","Juan Asipenko","jasipenko44@edu.com","Especializacion"
"jbafford45","uD233MpNz","Profesor","Juliane Bafford","jbafford45@edu.com","Doctorado"
"jchafer2q","zP7114j/=>&&i","Profesor","Jerrome Chafer","jchafer2q@edu.com","Pregrado"
"jhendrich1s","vX564EArK=dy","Profesor","Josy Hendrich","jhendrich1s@edu.com","Doctorado"
"jlarvin25","rB281h4#Q4P=","Profesor","Justin Larvin","jlarvin25@edu.com","Especializacion"
"jlearmond5","fC239D5TfNGj!","Profesor","Johan Learmond","jlearmond5@edu.com","Especializacion"
"jvayro19","qZ740mhTL<K./","Profesor","Jaquelyn Vayro","jvayro19@edu.com","Bachiller"
"jway33","uB692y/)5","Profesor","Jillayne Way","jway33@edu.com","Maestria"
"kcummins2s","jU141O0VI","Profesor","Kennie Cummins","kcummins2s@edu.com","Doctorado"
"kduchateau58","sS462(XGULv","Profesor","Kimbra Duchateau","kduchateau58@edu.com","Doctorado"
"kgiddons41","vX941v_OsxtS","Profesor","Kent Giddons","kgiddons41@edu.com","Doctorado"
"kgiovani4f","pE574<pH2d/xHIE","Profesor","Kissee Giovani","kgiovani4f@edu.com","Pregrado"
"khake1u","sC499?/!","Profesor","Kathy Hake","khake1u@edu.com","Bachiller"
"kmacmorlandj","tV390R$=","Profesor","Kissiah MacMorland","kmacmorlandj@edu.com","Doctorado"
"kmeckiff32","nM443_iFOI@z","Profesor","Korry Meckiff","kmeckiff32@edu.com","Pregrado"
"ktackell48","pM5294hqO*","Profesor","Karel Tackell","ktackell48@edu.com","Pregrado"
"kupshall49","dS146<2UBu9Br","Profesor","Karisa Upshall","kupshall49@edu.com","Especializacion"
"kwitherow1d","vI195D3<p1)/B9a","Profesor","Kellyann Witherow","kwitherow1d@edu.com","Bachiller"
"ldo5a","lQ232Nuev","Profesor","Lenka Do Rosario","ldo5a@edu.com","Doctorado"
"lentwistle2","nW586p|KXzW1","Profesor","Lara Entwistle","lentwistle2@edu.com","Doctorado"
"lfilesr","uO199Vl0xo","Profesor","Luciana Files","lfilesr@edu.com","Doctorado"
"lgouth3f","rA566j<l&h","Profesor","Levon Gouth","lgouth3f@edu.com","Maestria"
"lgrafhom30","aI469Rma_Y2n*29","Profesor","Lauralee Grafhom","lgrafhom30@edu.com","Pregrado"
"lharvie2n","dP238=~zeom*@","Profesor","Lulu Harvie","lharvie2n@edu.com","Bachiller"
"lmckane27","vD967k}tTbl|ZBl","Profesor","Lucretia McKane","lmckane27@edu.com","Especializacion"
"loakman1b","xU615FJ8","Profesor","Louis Akman","loakman1b@edu.com","Pregrado"
"lsilvestony","rL670!raavz","Profesor","Libby Silveston","lsilvestony@edu.com","Maestria"
"lwinborn3p","rD129kJhJQY","Profesor","Lorrie Winborn","lwinborn3p@edu.com","Maestria"
"mbearmanp","nQ4191Lw_Undd?","Profesor","Marthena Bearman","mbearmanp@edu.com","Doctorado"
"mbirtonshaw14","gT453d~XRd","Profesor","Mary Birtonshaw","mbirtonshaw14@edu.com","Doctorado"
"mcoldman4e","zO440MvIfF?EaRq","Profesor","Martin Coldman","mcoldman4e@edu.com","Maestria"
"mellesmeren","jW7071v1+(}u","Profesor","Marisa Ellesmere","mellesmeren@edu.com","Pregrado"
"moleary40","eJ397kYK)|","Profesor","Melba OLeary","moleary40@edu.com","Doctorado"
"mperkinso","fF0830>_Cmu0","Profesor","Michelina Perkins","mperkinso@edu.com","Bachiller"
"mstancliffe3g","hL0789lC/YREN/W","Profesor","Melinda Stancliffe","mstancliffe3g@edu.com","Doctorado"
"mstockley4y","xH841k$K","Profesor","Minor Stockley","mstockley4y@edu.com","Bachiller"
"nantonsson2a","bE490Qp/Gl7i","Profesor","Nolie Antonsson","nantonsson2a@edu.com","Especializacion"
"nchristoffe2c","aQ765/!Q","Profesor","Nickolaus Christoffe","nchristoffe2c@edu.com","Especializacion"
"nde34","bB863aEW?k)","Profesor","Neron de Wilde","nde34@edu.com","Especializacion"
"nfriedank5b","xM100+}wlj","Profesor","Nathan Friedank","nfriedank5b@edu.com","Pregrado"
"ngianasi2e","tV104i7BeFz","Profesor","Nickie Gianasi","ngianasi2e@edu.com","Pregrado"
"nirlam18","lF006b97","Profesor","Neel Irlam","nirlam18@edu.com","Doctorado"
"njaan1o","mV202Eea_","Profesor","Nanni Jaan","njaan1o@edu.com","Bachiller"
"njeacock4j","zY625dU_(n8*P","Profesor","Nalani Jeacock","njeacock4j@edu.com","Maestria"
"nnutton24","dC681llN.ad~","Profesor","Nonna Nutton","nnutton24@edu.com","Doctorado"
"nopenshaw2h","kW303zJXdX|","Profesor","Nevile Openshaw","nopenshaw2h@edu.com","Pregrado"
"nyarrington1q","jI129SK*(Y>U","Profesor","Norrie Yarrington","nyarrington1q@edu.com","Bachiller"
"obaird50","bJ167kDh","Profesor","Osbert Baird","obaird50@edu.com","Especializacion"
"oscotchbourouge1r","bU421xoW/U3","Profesor","Odessa Scotchbourouge","oscotchbourouge1r@edu.com","Bachiller"
"oworland2g","eO754gf(@","Profesor","Obediah Worland","oworland2g@edu.com","Pregrado"
"pgreig22","hS682)N(","Profesor","Payton Greig","pgreig22@edu.com","Bachiller"
"phelleckas1c","rR408z5yLYlQkc.","Profesor","Paxon Helleckas","phelleckas1c@edu.com","Bachiller"
"psieghard2z","aS664KtAxwGh","Profesor","Piper Sieghard","psieghard2z@edu.com","Doctorado"
"psollam5h","fY540/zSa914","Profesor","Pat Sollam","psollam5h@edu.com","Pregrado"
"pspatoni2t","sX928ARN","Profesor","Phaedra Spatoni","pspatoni2t@edu.com","Maestria"
"pwithrop2w","bF725NIVg","Profesor","Pen Withrop","pwithrop2w@edu.com","Especializacion"
"raslen3d","aQ638kIWn","Profesor","Rani Aslen","raslen3d@edu.com","Pregrado"
"rbellocht26","lJ635qe<x2#L*","Profesor","Rivy Bellocht","rbellocht26@edu.com","Pregrado"
"rdressel2b","hS2403I96xVK8ta","Profesor","Richard Dressel","rdressel2b@edu.com","Especializacion"
"rfalla5c","tJ376lU$Ql6j<","Profesor","Rycca Falla","rfalla5c@edu.com","Maestria"
"rfallowfield4a","oE648k6a3","Profesor","Roseann Fallowfield","rfallowfield4a@edu.com","Pregrado"
"rfominov1y","kO633qX11|)W+j=","Profesor","Raymund Fominov","rfominov1y@edu.com","Especializacion"
"rgasnolls","pM866!!@U1=Cw=","Profesor","Rina Gasnoll","rgasnolls@edu.com","Pregrado"
"rgiff36","kK209Vu)_","Profesor","Rudd Giff","rgiff36@edu.com","Bachiller"
"rhuett2m","vK617zgiEH8kV","Profesor","Rebekah Huett","rhuett2m@edu.com","Maestria"
"riston3r","rS787LeB=b.SK","Profesor","Rabi Iston","riston3r@edu.com","Pregrado"
"rlonsdale17","zX265$klTCsvVC","Profesor","Raimundo Lonsdale","rlonsdale17@edu.com","Pregrado"
"rmayfield5i","lF910vPB","Profesor","Rebekkah Mayfield","rmayfield5i@edu.com","Especializacion"
"ro2v","jC569GlVGREy?","Profesor","Rick O Hern","ro2v@edu.com","Maestria"
"rpittham1","qY914=A+./GRI+","Profesor","Rivkah Pittham","rpittham1@edu.com","Bachiller"
"rshawyer1l","hL019Qc445eWI4","Profesor","Roy Shawyer","rshawyer1l@edu.com","Especializacion"
"rspeaks2r","nJ756$eX#rz._O1t","Profesor","Reeba Speaks","rspeaks2r@edu.com","Especializacion"
"rwarbey42","yO711Jfn1","Profesor","Rosalinde \
Warbey","rwarbey42@edu.com","Bachiller"
"rwolstencroft3i","rS074eUi<1H=DE","Profesor","Reynold Wolstencroft","rwolstencroft3i@edu.com","Especializacion"
"ryurocjkin47","zV5711<dgy{","Profesor","Rozina Yurocjkin","ryurocjkin47@edu.com","Doctorado"
"scouronne16","lH830>4??&|","Profesor","Shawn Couronne","scouronne16@edu.com","Pregrado"
"screser23","yF618hn2Ja8u2","Profesor","Simeon Creser","screser23@edu.com","Maestria"
"scupittk","oZ588Y3CeyT94","Profesor","Smith Cupitt","scupittk@edu.com","Maestria"
"sdi39","uU32143n8cn*//Cu","Profesor","Sharona Di Nisco","sdi39@edu.com","Doctorado"
"sedmons4","eY165yLCys5k","Profesor","Sherie Edmons","sedmons4@edu.com","Bachiller"
"sethersey5d","mI617T##)","Profesor","Sabra Ethersey","sethersey5d@edu.com","Bachiller"
"sgrut1g","yB909srzqGA}","Profesor","Sara-ann Grut","sgrut1g@edu.com","Doctorado"
"simlach2o","vD434PL=bL@b.","Profesor","Shelley Imlach","simlach2o@edu.com","Pregrado"
"slowndsbrough3v","eC876)5gAXKxj","Profesor","Sigmund Lowndsbrough","slowndsbrough3v@edu.com","Doctorado"
"spaley0","bY5713D","Profesor","Suzette Paley","spaley0@edu.com","Maestria"
"spancoust12","dQ973Y5m$?","Profesor","Stevana Pancoust","spancoust12@edu.com","Maestria"
"sraspin1a","xP917?d@PVfh/","Profesor","Sisile Raspin","sraspin1a@edu.com","Pregrado"
"sthunnercliffe2p","eP014mZ{~Z5d","Profesor","Sibeal Thunnercliffe","sthunnercliffe2p@edu.com","Bachiller"
"tbrealey4n","oZ587qt$bnI","Profesor","Tabbitha Brealey","tbrealey4n@edu.com","Pregrado"
"tderham4r","sQ639@Qtp","Profesor","Tresa Derham","tderham4r@edu.com","Maestria"
"tdwine20","vY7304TwwCHD3s<v","Profesor","Tanitansy Dwine","tdwine20@edu.com","Doctorado"
"tedgcombee","kR276~i?r","Profesor","Tabitha Edgcombe","tedgcombee@edu.com","Especializacion"
"tgiorgeschi4x","mQ355s2+U|D","Profesor","Teodoro Giorgeschi","tgiorgeschi4x@edu.com","Pregrado"
"tglyne15","iJ321XgLN&{l","Profesor","Trenton Glyne","tglyne15@edu.com","Especializacion"
"tjachimczak3w","mE858l=cG","Profesor","Tessy Jachimczak","tjachimczak3w@edu.com","Pregrado"
"tmccart55","rC397cum$78b/v","Profesor","Tomkin McCart","tmccart55@edu.com","Especializacion"
"todby11","zL897}Q4F|8.","Profesor","Tabby Odby","todby11@edu.com","Maestria"
"tpetrazzi3s","vO193QUh","Profesor","Theda Petrazzi","tpetrazzi3s@edu.com","Doctorado"
"vhartin37","jP990K2LHEj#&vw","Profesor","Violante Hartin","vhartin37@edu.com","Bachiller"
"vlandall1k","eP821#dc7FE","Profesor","Vidovik Landall","vlandall1k@edu.com","Bachiller"
"vpemble51","uA824o&d","Profesor","Verine Pemble","vpemble51@edu.com","Bachiller"
"vpretty4z","yH515jYD0","Profesor","Vyky Pretty","vpretty4z@edu.com","Especializacion"
"vsummerell5g","hD249(sj{CT","Profesor","Verile Summerell","vsummerell5g@edu.com","Pregrado"
"wastbery4k","jB553B*@","Profesor","Wilton Astbery","wastbery4k@edu.com","Especializacion"
"wblenkensop4m","mM512}g}ozRZmu8","Profesor","Waring Blenkensop","wblenkensop4m@edu.com","Bachiller"
"wgaskin2k","wJ061~p0<PzC","Profesor","Wenda Gaskin","wgaskin2k@edu.com","Doctorado"
"wlaurent1e","oU083KaGo@il#jp","Profesor","Whitman Laurent","wlaurent1e@edu.com","Especializacion"
"wmc10","tO1916#ggyoFk","Profesor","Welbie Mc Harg","wmc10@edu.com","Maestria"
"wtandey6","pB544VNKUU?bZi","Profesor","Waldemar Tandey","wtandey6@edu.com","Bachiller"
"wtoleru","oN158a2wQ","Profesor","Webb Toler","wtoleru@edu.com","Bachiller"
"wwoodruffe59","eR572fss","Profesor","Wandis Woodruffe","wwoodruffe59@edu.com","Bachiller"
"yulrik57","rI925pu3E/)6WoMq","Profesor","Yolane Ulrik","yulrik57@edu.com",""
"zcharley2l","kG980$R","Profesor","Zachery Charley","zcharley2l@edu.com","Pregrado"
"zyoule52","rR308Ox=S9e","Profesor","Zenia Youle","zyoule52@edu.com","Especializacion"
