usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducacion,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
gstoylesh,"vB5T#sN4a""r?\",Garrard Stoyles,gstoylesh@edu.com,Brazil,no,Femenino,Viudo,si,no,si,0
afrancklyni,nU9M2XU&y,Arabelle Francklyn,afrancklyni@edu.com,Sweden,no,Masculino,Viudo,si,si,no,0
unardonij,eE1D\8Rgkq=njWH3,Ursuline Nardoni,unardonij@edu.com,China,no,Otro,Union libre,si,no,si,0
pwoodsk,vM6<$'?b?~m>Gd&,Portie Woods,pwoodsk@edu.com,Brazil,no,Femenino,Viudo,si,si,no,0
qconnettl,vL97KHpznNtszbcO,Quintina Connett,qconnettl@edu.com,Poland,si,Otro,Divorciado,no,si,no,0
vgoublierm,"lD95@5,.3sMhJ",Vallie Goublier,vgoublierm@edu.com,China,no,Masculino,Viudo,no,si,si,0
jleitchen,tV0qA\E\)W{n7,Josi Leitche,jleitchen@edu.com,China,si,Femenino,Divorciado,si,si,no,0
jscraceo,sA1/n?2E5#J,Jodee Scrace,jscraceo@edu.com,Mongolia,no,Otro,Casado,no,si,si,0
ggodinp,cM5x9pxr1S,Ginger Godin,ggodinp@edu.com,Philippines,si,Otro,Casado,si,no,si,0
bhovyq,eA9l@$FVG,Bernadene Hovy,bhovyq@edu.com,Indonesia,si,Masculino,Viudo,no,si,si,0
vfrendr,bW2D1G@EugQH6,Valle Frend,vfrendr@edu.com,China,no,Masculino,Union libre,si,no,si,0
mlivards,sT1`+x9\QL/+s,Marietta Livard,mlivards@edu.com,Sweden,si,Femenino,Casado,no,si,si,0
mpreont,hW0bba2v!C,Monika Preon,mpreont@edu.com,Iran,no,Otro,Union libre,si,no,no,0
ksexceyu,vU79uAwB,Kalina Sexcey,ksexceyu@edu.com,Ivory Coast,no,Masculino,Soltero,si,si,si,0
cyglesiav,yF8p\z=8D,Claybourne Yglesia,cyglesiav@edu.com,China,no,Otro,Union libre,si,no,si,0
lballachw,oR1!t1ge6Tsq1,Lidia Ballach,lballachw@edu.com,Sweden,no,Femenino,Union libre,no,no,si,0
wscowenx,xO6.wvb1%f=go,Waldon Scowen,wscowenx@edu.com,Philippines,si,Otro,Casado,si,si,si,0
fewolsy,mJ6qHIw8e*rUN,Forrester Ewols,fewolsy@edu.com,Indonesia,si,Masculino,Union libre,si,no,no,0
ppoolyz,qA3P/EQEn3n.ih,Pepe Pooly,ppoolyz@edu.com,Senegal,si,Otro,Viudo,no,si,si,0
hgettone10,"kG5)t,}M"".H'u",Harmonia Gettone,hgettone10@edu.com,Costa Rica,no,Femenino,Soltero,si,no,no,0
fharroway11,kB6~lQ'4Vb,Fletcher Harroway,fharroway11@edu.com,China,no,Femenino,Soltero,si,no,si,0
amacinherney12,sF3CGe=`&TWPU7,Adiana MacInherney,amacinherney12@edu.com,China,si,Femenino,Casado,si,si,no,0
mpigney13,nD7bq%_1q,Maxy Pigney,mpigney13@edu.com,Peru,no,Femenino,Soltero,no,si,no,0
mowens14,sY8.ydM*biQ>%,Morgun Owens,mowens14@edu.com,Indonesia,si,Masculino,Union libre,si,si,si,0
cmaddrah15,"hD2{U,""""d=R/\",Cort Maddrah,cmaddrah15@edu.com,Portugal,si,Otro,Viudo,si,si,si,0
smark16,"wD1Ls4BsEdNw,J@q",Sanford Mark,smark16@edu.com,Finland,no,Masculino,Divorciado,si,si,si,0
eandrzejczak17,aJ7M}P5c<1G.=a7,Elli Andrzejczak,eandrzejczak17@edu.com,Vietnam,si,Masculino,Casado,si,no,si,0
cstachini18,"rM6N""WrC@@",Casey Stachini,cstachini18@edu.com,Cuba,si,Otro,Union libre,no,no,si,0
gleed19,zE3v_Rs@!3a+OwD,Grace Leed,gleed19@edu.com,China,no,Masculino,Viudo,no,no,si,0
jjamieson1a,"pZ1Ntfrs/x{""uI=S",Jake Jamieson,jjamieson1a@edu.com,Peru,si,Masculino,Casado,si,no,si,0
bmouser1b,cB6w_FM$cAE|Z,Beulah Mouser,bmouser1b@edu.com,Guatemala,si,Femenino,Casado,no,si,no,0
dlaux1c,uS4(.y8_CYh8,Demetrius Laux,dlaux1c@edu.com,Papua New Guinea,si,Otro,Soltero,no,si,si,0
lhansie1d,"pD6lQ8i""G+w""hz",Lammond Hansie,lhansie1d@edu.com,Argentina,si,Femenino,Viudo,no,no,si,0
esmitten1e,rR8+Gd6}hjb,Evyn Smitten,esmitten1e@edu.com,Philippines,no,Masculino,Casado,no,no,si,0
kepgrave1f,nJ6Hk?c&I*9UqJY,Kailey Epgrave,kepgrave1f@edu.com,United States,no,Masculino,Divorciado,si,si,no,0
gkolodziejski1g,zB6`){l'liZq,Gabey Kolodziejski,gkolodziejski1g@edu.com,China,si,Femenino,Viudo,si,no,no,0
sgutowski1h,tU9sZHM?7v@kFF~8,Shaughn Gutowski,sgutowski1h@edu.com,China,no,Otro,Viudo,no,no,no,0
blytle1i,"vU0=yE,5WMBz",Brenden Lytle,blytle1i@edu.com,Brazil,si,Otro,Union libre,no,no,no,0
zroutledge1j,"eN8!>0I5d""/Jg",Zerk Routledge,zroutledge1j@edu.com,Thailand,si,Masculino,Viudo,si,no,no,0
jdignum1k,gV179|.6PeK_yW36,Jeanna Dignum,jdignum1k@edu.com,Portugal,si,Otro,Casado,no,no,si,0
scockin1l,nA3CHeLQ1?=ei,Siobhan Cockin,scockin1l@edu.com,China,si,Masculino,Casado,no,no,si,0
radamovitch1m,nH8qUK7eUWx,Ross Adamovitch,radamovitch1m@edu.com,Palestinian Territory,no,Masculino,Viudo,si,si,no,0
aswann1n,mA4X'@r&=<rO#E+U,Angeli Swann,aswann1n@edu.com,Kazakhstan,si,Masculino,Casado,si,no,si,0
spennycock1o,iK7!3X62f%vs$,Sibilla Pennycock,spennycock1o@edu.com,Indonesia,si,Masculino,Casado,si,no,no,0
hhort1p,fT5}{S<wToJwhUA,Humfried Hort,hhort1p@edu.com,Zimbabwe,si,Otro,Casado,no,si,si,0
kpollington1q,eE0z.nWe&BQ,Kimberly Pollington,kpollington1q@edu.com,Yemen,no,Masculino,Soltero,no,no,si,0
kshimony1r,kI0NfJ|HT,Karita Shimony,kshimony1r@edu.com,Eritrea,no,Masculino,Viudo,no,si,si,0
ebernardos1s,"bH7`I""8h",Edwina Bernardos,ebernardos1s@edu.com,Denmark,si,Femenino,Casado,si,si,si,0
ymynard1t,"vO7<VwJB,tsclVt",Yoko Mynard,ymynard1t@edu.com,China,si,Otro,Viudo,si,si,no,0
sbrignell1u,rK43>q{RomN,Seline Brignell,sbrignell1u@edu.com,Finland,no,Otro,Divorciado,si,no,si,0
dmarlor1v,vH9ip6?x@,Dreddy Marlor,dmarlor1v@edu.com,Bahamas,no,Otro,Divorciado,no,si,si,0
mpawelke1w,jT2i3=$.Pze'o)o},Martelle Pawelke,mpawelke1w@edu.com,Brazil,no,Otro,Divorciado,si,no,no,0
rjacquemy1x,vU3iK'~KMM,Reginauld Jacquemy,rjacquemy1x@edu.com,Ukraine,no,Femenino,Union libre,si,si,si,0
vlettsom1y,dD1+*P=?c,Virginie Lettsom,vlettsom1y@edu.com,France,si,Otro,Soltero,no,no,si,0
sfirmage1z,mW71uyw8,Sal Firmage,sfirmage1z@edu.com,China,no,Otro,Soltero,si,si,si,0
bvedenyakin20,lL7S+('V,Berrie Vedenyakin,bvedenyakin20@edu.com,Australia,no,Otro,Soltero,no,si,si,0
gallmark21,mS1Ol6S04,Goddard Allmark,gallmark21@edu.com,China,si,Otro,Soltero,si,no,si,0
vpryce22,uD2GN{N\n7{V9hv,Vina Pryce,vpryce22@edu.com,China,si,Otro,Divorciado,si,no,si,0
cromanelli23,"gR7If5GQj,e?3li",Correy Romanelli,cromanelli23@edu.com,Russia,si,Femenino,Union libre,no,no,no,0
hcastelot24,yY4dWN<By,Hew Castelot,hcastelot24@edu.com,Serbia,no,Masculino,Divorciado,si,no,no,0
rknowler25,fH8n?lt3$)sx,Riobard Knowler,rknowler25@edu.com,Morocco,si,Masculino,Casado,no,no,no,0
sberthon26,eL97}BO~4G,Sidney Berthon,sberthon26@edu.com,Iran,si,Otro,Union libre,no,si,si,0
cfairpool27,pA8EkF&O_,Codie Fairpool,cfairpool27@edu.com,Nigeria,si,Femenino,Divorciado,si,no,no,0
lpowlett28,"bV3(SC7""}q%U$2p",Leonhard Powlett,lpowlett28@edu.com,Poland,no,Femenino,Union libre,si,si,no,0
wdomesday29,"jS6w""LvX",Weylin Domesday,wdomesday29@edu.com,China,si,Otro,Divorciado,no,si,si,0
amartinek2a,zT6>~VI4\,Andres Martinek,amartinek2a@edu.com,Mongolia,si,Masculino,Casado,si,si,si,0
cmont2b,bZ1*fd5Vi@t,Cynthea Mont,cmont2b@edu.com,Chile,no,Otro,Union libre,si,no,no,0
jdarch2c,nG3AZT(ZX@,Julissa Darch,jdarch2c@edu.com,Philippines,si,Masculino,Union libre,si,si,si,0
ajopke2d,"oV5%,S'P1K5a",Adam Jopke,ajopke2d@edu.com,Brazil,si,Masculino,Divorciado,si,si,si,0
cmcane2e,rV8ztsiRT..4z,Ches McAne,cmcane2e@edu.com,Ukraine,si,Otro,Soltero,no,no,no,0
tlinder2f,eJ8Yll62p!m~K1to,Timmy Linder,tlinder2f@edu.com,Ukraine,si,Femenino,Casado,si,no,si,0
dpawley2g,"bW5R#I,fJ",Drusi Pawley,dpawley2g@edu.com,Indonesia,si,Femenino,Soltero,si,no,si,0
lverlander2h,rG2gn$VgkTAW,Lorianne Verlander,lverlander2h@edu.com,France,no,Otro,Divorciado,no,no,no,0
skamenar2i,vP7)}{mq2sn~MT#,Stefano Kamenar,skamenar2i@edu.com,Thailand,si,Masculino,Soltero,no,no,no,0
lvedenichev2j,oQ0aGdGm&%H%PH=#,Lindsey Vedenichev,lvedenichev2j@edu.com,Indonesia,no,Femenino,Viudo,no,no,no,0
mmatous2k,pD8'`?<=,Mord Matous,mmatous2k@edu.com,Indonesia,si,Femenino,Viudo,si,no,no,0
mtitterton2l,"hC1KW+'.,d""",Mabel Titterton,mtitterton2l@edu.com,Philippines,si,Femenino,Union libre,si,no,no,0
hbetteney2m,eF1+)CfzO,Hewe Betteney,hbetteney2m@edu.com,Indonesia,si,Masculino,Divorciado,no,no,no,0
cpatria2n,tJ4Y2CSUnrDXC>,Cly Patria,cpatria2n@edu.com,Russia,no,Masculino,Union libre,no,no,no,0
mgrzegorzewski2o,"sA8z22cj,,3<",Moritz Grzegorzewski,mgrzegorzewski2o@edu.com,Belize,si,Otro,Union libre,si,no,no,0
kpoxson2p,uS8n>?iVC1SD,Karlis Poxson,kpoxson2p@edu.com,Venezuela,si,Femenino,Casado,no,si,si,0
mselman2q,nW8.d6L/Wb=}yJ,Micheline Selman,mselman2q@edu.com,Cameroon,si,Masculino,Viudo,si,no,no,0
sayer2r,jA8hC)%p\1,Silvan Ayer,sayer2r@edu.com,Thailand,no,Femenino,Viudo,no,si,si,0
adohrmann2s,"fJ9Q@l92an#,9T>?",Aubrie Dohrmann,adohrmann2s@edu.com,Brazil,no,Masculino,Casado,no,no,no,0
edenziloe2t,jP5=Rmdi>_x8@=,Edin Denziloe,edenziloe2t@edu.com,Philippines,si,Femenino,Casado,no,si,si,0
dwynch2u,"nX9""ZRV5f|~=N",Daisy Wynch,dwynch2u@edu.com,Ivory Coast,si,Femenino,Casado,si,no,no,0
mpudner2v,lP9Vz>CT3,Martguerita Pudner,mpudner2v@edu.com,South Africa,no,Otro,Union libre,no,no,no,0
cmcgrah2w,qC0bXxYV.UZ1j9>a,Celina McGrah,cmcgrah2w@edu.com,Brazil,si,Masculino,Viudo,si,si,si,0
aspadazzi2x,pL3c.X2ix5zNZp,Arlie Spadazzi,aspadazzi2x@edu.com,Argentina,no,Otro,Viudo,si,si,si,0
sgriswood2y,eY7ACThLN\,Stearn Griswood,sgriswood2y@edu.com,Czech Republic,no,Masculino,Viudo,si,si,no,0
mstocky2z,kE2%7OEib9{!B,Matthew Stocky,mstocky2z@edu.com,Argentina,si,Femenino,Soltero,si,si,no,0
rvasey30,tW8\LdNwdA#WDW,Ramon Vasey,rvasey30@edu.com,Ukraine,si,Femenino,Union libre,no,si,si,0
thallford31,aO2@)I1M`i{@,Theodosia Hallford,thallford31@edu.com,China,no,Otro,Casado,si,no,no,0
jbreward32,hC0MM_mf~seoD90,Janifer Breward,jbreward32@edu.com,China,no,Femenino,Divorciado,si,si,si,0
dmaasz33,cZ6&cZnf,Dani Maasz,dmaasz33@edu.com,Japan,no,Masculino,Soltero,no,si,si,0
awhittenbury34,iO0(9Uqs=2,Adora Whittenbury,awhittenbury34@edu.com,Sierra Leone,si,Masculino,Soltero,si,si,si,0
edmitrovic35,gH4iJ$j#(K'j5A_5,Emlyn Dmitrovic,edmitrovic35@edu.com,Indonesia,no,Masculino,Union libre,no,no,no,0
alonsbrough36,oR3y73gw)DT!Ur,Arman Lonsbrough,alonsbrough36@edu.com,Mexico,no,Masculino,Viudo,no,si,no,0
zlivsey37,xX5I%X!NYxH,Zilvia Livsey,zlivsey37@edu.com,Poland,si,Otro,Union libre,si,no,no,0
dharvey38,fW6&S9m(.Ttv,Devin Harvey,dharvey38@edu.com,France,si,Otro,Soltero,no,si,no,0
aruppertz39,"kR0""zjQN,",Artur Ruppertz,aruppertz39@edu.com,Brazil,no,Femenino,Casado,si,no,si,0
gdawdary3a,wX5~0/vIV*)p%10,Gannie Dawdary,gdawdary3a@edu.com,France,si,Femenino,Viudo,si,si,si,0
eruzicka3b,gL16\7d'K3lF,Emylee Ruzicka,eruzicka3b@edu.com,Indonesia,si,Femenino,Divorciado,si,si,no,0
cingrem3c,"cF3""RGxsjr|4Oh",Costanza Ingrem,cingrem3c@edu.com,Moldova,no,Femenino,Viudo,no,no,si,0
nconklin3d,cE5d%8TwWBFEy,Nefen Conklin,nconklin3d@edu.com,Vietnam,si,Otro,Viudo,si,si,no,0
bmcwilliams3e,iC92KGN~'/6,Buiron McWilliams,bmcwilliams3e@edu.com,Lesotho,si,Masculino,Soltero,no,no,si,0
dlerwell3f,"eX6""z|GHN/Pp%R",Dorothy Lerwell,dlerwell3f@edu.com,Japan,si,Femenino,Union libre,si,no,no,0
dbandt3g,mY6wa48_yxU,Davy Bandt,dbandt3g@edu.com,France,si,Masculino,Casado,no,no,si,0
rkamall3h,"tK7&DQUfTo""Yu",Raf Kamall,rkamall3h@edu.com,China,no,Otro,Casado,si,no,no,0
olaffling3i,"aW4em).kXc\2b""",Oby Laffling,olaffling3i@edu.com,Benin,no,Masculino,Viudo,no,si,si,0
gmcdermottrow3j,iJ2@DDoE+ZpaNdF=,Georas McDermott-Row,gmcdermottrow3j@edu.com,China,no,Femenino,Viudo,si,no,si,0
jdruitt3k,vK4n2+w?k=7KL,Jessee Druitt,jdruitt3k@edu.com,Serbia,no,Otro,Union libre,si,si,no,0
tcuncliffe3l,zI9>'~tQ@,Tomasina Cuncliffe,tcuncliffe3l@edu.com,Moldova,no,Femenino,Divorciado,no,si,si,0
sdiano3m,cA711b}b\IELOcb,Staci Diano,sdiano3m@edu.com,Indonesia,no,Masculino,Union libre,no,si,si,0
mferrier3n,xX9Zqdu$c%,Marthena Ferrier,mferrier3n@edu.com,United States,no,Otro,Casado,si,no,si,0
gellerton3o,cX5VV6y!,Gwenny Ellerton,gellerton3o@edu.com,Russia,si,Femenino,Union libre,si,si,si,0
ebickerdike3p,dZ5qzB>9?!,Evelyn Bickerdike,ebickerdike3p@edu.com,Israel,no,Masculino,Casado,no,no,si,0
spendall3q,qX3V.#A=Gn.La,Stacia Pendall,spendall3q@edu.com,Russia,si,Otro,Divorciado,si,si,si,0
sebertz3r,xJ0`!I~398o!`TD,Sacha Ebertz,sebertz3r@edu.com,United States,no,Masculino,Viudo,no,no,no,0
jbartolic3s,pT0vs?0<2p,Jehanna Bartolic,jbartolic3s@edu.com,China,si,Otro,Casado,no,no,si,0
fmonni3t,kK9{6__'ZI6qVh,Farra Monni,fmonni3t@edu.com,Kazakhstan,no,Otro,Casado,si,no,no,0
mclink3u,oS7iegvw,Mable Clink,mclink3u@edu.com,Mexico,si,Femenino,Divorciado,si,no,no,0
cjanks3v,vG82_<Ns4Uq(/I5,Coreen Janks,cjanks3v@edu.com,China,si,Otro,Union libre,si,no,si,0
hfodden3w,"zY4zys?{$""\'U=)",Hunter Fodden,hfodden3w@edu.com,Indonesia,si,Femenino,Divorciado,no,si,si,0
mwinnister3x,dK1k7+Z4,Mohandis Winnister,mwinnister3x@edu.com,Czech Republic,no,Otro,Soltero,no,no,no,0
esoans3y,vY3}B'JpP&K7pCKM,Everett Soans,esoans3y@edu.com,Russia,si,Femenino,Divorciado,no,si,si,0
snoddle3z,tH4*+P${%Qh!>n,Shela Noddle,snoddle3z@edu.com,Ireland,si,Masculino,Soltero,no,si,no,0
wshera40,"kE6!B0b""fcjWv",Wendeline Shera,wshera40@edu.com,Norway,si,Masculino,Casado,no,no,no,0
sstollhofer41,fS262<kgb&,Sky Stollhofer,sstollhofer41@edu.com,Portugal,si,Otro,Soltero,no,si,no,0
lbeekmann42,eY61840!IRNpnF6,Luther Beekmann,lbeekmann42@edu.com,Russia,si,Otro,Union libre,no,no,si,0
iadcock43,cT6S<QeOROB9Km,Inglebert Adcock,iadcock43@edu.com,Sweden,no,Femenino,Soltero,no,no,si,0
gscougal44,hT5L<7qb?xIBS)5,Gilberta Scougal,gscougal44@edu.com,China,si,Masculino,Divorciado,si,no,si,0
bglyn45,aK64QVd@',Blaine Glyn,bglyn45@edu.com,Russia,si,Otro,Casado,si,no,no,0
bgreenleaf46,sI5SB!%Otpwb#=SV,Bastien Greenleaf,bgreenleaf46@edu.com,Indonesia,no,Masculino,Viudo,si,no,si,0
sbrett47,sV3I1$rWif,Sandye Brett,sbrett47@edu.com,Argentina,si,Otro,Soltero,si,no,no,0
nloughnan48,oN8Y8a=xp1Uy,Ninetta Loughnan,nloughnan48@edu.com,Portugal,si,Otro,Viudo,no,no,no,0
dlornsen49,eC11c30i\,Diego Lornsen,dlornsen49@edu.com,Ivory Coast,si,Masculino,Soltero,si,si,no,0
dcolpus4a,"wX0ZC.AM{&,O",Dwayne Colpus,dcolpus4a@edu.com,China,no,Femenino,Divorciado,si,si,si,0
vhearl4b,eD82J/Lu,Violette Hearl,vhearl4b@edu.com,Vietnam,si,Femenino,Divorciado,si,si,si,0
ckempe4c,iY7SVc+sW\u,Cristina Kempe,ckempe4c@edu.com,Mexico,no,Femenino,Divorciado,no,si,no,0
bkopacek4d,"rV4m*2x3Kn`qo,*'",Bird Kopacek,bkopacek4d@edu.com,China,no,Otro,Casado,si,no,si,0
nkneath4e,eV82T@!1Y,Nickey Kneath,nkneath4e@edu.com,Argentina,no,Otro,Casado,si,si,si,0
bbilovus4f,"jW488""CHSf)YVqY",Bette Bilovus,bbilovus4f@edu.com,Russia,si,Femenino,Soltero,no,si,no,0
bwarke4g,tD1Au7tq,Bernie Warke,bwarke4g@edu.com,Bhutan,no,Femenino,Divorciado,si,no,si,0
ctwelvetree4h,fH8jQ6K{O7x{xH,Cameron Twelvetree,ctwelvetree4h@edu.com,China,no,Otro,Casado,no,si,no,0
ntoogood4i,lS6Ep|r`4d.j!2t,Nil Toogood,ntoogood4i@edu.com,Portugal,no,Masculino,Soltero,no,si,no,0
phearty4j,"pI2o=8K>""?",Pip Hearty,phearty4j@edu.com,Indonesia,no,Otro,Casado,si,no,no,0
tisakovic4k,sM7Xa@|so``,Tess Isakovic,tisakovic4k@edu.com,Poland,si,Femenino,Divorciado,no,no,no,0
iwarrener4l,xY1Ig\Z0F}tIDB&,Issiah Warrener,iwarrener4l@edu.com,Portugal,si,Masculino,Casado,no,si,si,0
cmcnamee4m,"mB3Fs.t\d,8la0>?",Calhoun McNamee,cmcnamee4m@edu.com,Poland,si,Masculino,Viudo,no,no,no,0
hgricewood4n,"wN3""+Bo|sKges",Hettie Gricewood,hgricewood4n@edu.com,France,no,Masculino,Soltero,no,no,si,0
mbickmore4o,"mV8@bxZ=vv""}*K",Mareah Bickmore,mbickmore4o@edu.com,Ukraine,no,Femenino,Divorciado,no,no,si,0
gduddy4p,eA63j={>.6f,Gwenni Duddy,gduddy4p@edu.com,Japan,si,Femenino,Viudo,no,no,si,0
aberrey4q,vQ2iutPS8Fw3,Adelaida Berrey,aberrey4q@edu.com,China,si,Otro,Divorciado,si,si,si,0
mwisher4r,"lB3,rL<(~)#SC",Mathew Wisher,mwisher4r@edu.com,Indonesia,si,Masculino,Casado,si,no,si,0
otuckie4s,hP2KN_Vb}=T,Olympie Tuckie,otuckie4s@edu.com,Indonesia,si,Masculino,Union libre,si,si,si,0
wcall4t,rL1wSD$6O)Uv,Wilburt Call,wcall4t@edu.com,United Kingdom,si,Otro,Union libre,no,no,si,0
nmorcom4u,aZ7dAVJkS,Nonie Morcom,nmorcom4u@edu.com,Colombia,no,Femenino,Casado,si,no,no,0
bespinazo4v,oG6`(sq9+F+nx3,Bethena Espinazo,bespinazo4v@edu.com,Indonesia,no,Femenino,Casado,no,si,si,0
rdayly4w,qC8sVxO4,Reagan Dayly,rdayly4w@edu.com,Indonesia,si,Femenino,Casado,si,no,si,0
crawson4x,"hR8J.WqOSm08|B,",Con Rawson,crawson4x@edu.com,Indonesia,no,Otro,Soltero,si,si,no,0
sodegaard4y,gA3~9we4r,Samaria Odegaard,sodegaard4y@edu.com,China,no,Otro,Casado,si,no,si,0
vdurn4z,lJ2EgGgGML_W6(,Vergil Durn,vdurn4z@edu.com,Ethiopia,si,Masculino,Divorciado,si,si,no,0
mstaning50,jX7C`rA{`'dx%<,Manon Staning,mstaning50@edu.com,Ukraine,si,Masculino,Divorciado,si,no,si,0
fcowdroy51,qO1WTIs2>,Fred Cowdroy,fcowdroy51@edu.com,Greece,no,Masculino,Viudo,si,no,no,0
esapseed52,cK376ekge,Emiline Sapseed,esapseed52@edu.com,China,no,Femenino,Soltero,si,si,no,0
ahaddleston53,"yR0!\""D.A#84/1",Amble Haddleston,ahaddleston53@edu.com,China,si,Otro,Divorciado,no,si,no,0
sparrish54,dD4o97cy,Stormy Parrish,sparrish54@edu.com,Czech Republic,si,Otro,Union libre,si,si,si,0
gmccullen55,uS3(cPNRKT&j8P,Georges McCullen,gmccullen55@edu.com,Czech Republic,no,Masculino,Union libre,si,no,no,0
mmcshane56,oD2GCm~tz~,Morty McShane,mmcshane56@edu.com,Sweden,si,Otro,Casado,no,si,no,0
emarples57,aW1$<Dxliv,Erik Marples,emarples57@edu.com,Peru,no,Otro,Soltero,no,no,no,0
ringerman58,iW0vcj?1o!,Rosita Ingerman,ringerman58@edu.com,Iran,si,Masculino,Viudo,si,si,no,0
zspier59,cA1vGiajz,Zebadiah Spier,zspier59@edu.com,Russia,no,Masculino,Viudo,no,no,no,0
ppaviour5a,vB7qW%w8k,Peta Paviour,ppaviour5a@edu.com,Thailand,si,Masculino,Casado,no,no,si,0
ebroxis5b,dK28_/43GP,Emily Broxis,ebroxis5b@edu.com,Colombia,no,Femenino,Soltero,si,si,no,0
pgreenshields5c,dC8f0N9Y,Philip Greenshields,pgreenshields5c@edu.com,Greece,no,Femenino,Soltero,si,si,no,0
mpetkov5d,cS7R8s@PDCK,Marven Petkov,mpetkov5d@edu.com,Canada,si,Masculino,Casado,no,no,no,0
ahupe5e,uM1MH$3{en,Antonio Hupe,ahupe5e@edu.com,Ireland,si,Masculino,Casado,no,no,no,0
vletertre5f,aY3aZn!cA,Vito Letertre,vletertre5f@edu.com,Argentina,no,Otro,Soltero,no,si,si,0
apleuman5g,"oO9V4,CgC_l",Aileen Pleuman,apleuman5g@edu.com,Russia,si,Femenino,Casado,no,no,si,0
cgowdie5h,aR7.br?O,Corri Gowdie,cgowdie5h@edu.com,Solomon Islands,si,Masculino,Casado,no,si,si,0
hedwin5i,sP1QF#YnrQoUN+|u,Hadlee Edwin,hedwin5i@edu.com,Greece,si,Otro,Casado,si,si,si,0
pmaskell5j,"vG7'ei"",9Eaa5",Pollyanna Maskell,pmaskell5j@edu.com,Macedonia,si,Masculino,Union libre,si,no,no,0
lflanne5k,jP1>>Gwa'mZQ`Z,Louise Flanne,lflanne5k@edu.com,France,si,Otro,Divorciado,si,no,no,0
bsulman5l,pJ5*ScKL~!1O/\`,Becky Sulman,bsulman5l@edu.com,Russia,no,Femenino,Union libre,si,no,si,0
ffishwick5m,pL1Y&WkoppD!U,Findlay Fishwick,ffishwick5m@edu.com,United States,si,Otro,Union libre,si,si,no,0
clebourn5n,nR3fO<W'kPQ,Chris Lebourn,clebourn5n@edu.com,Poland,no,Masculino,Union libre,si,no,si,0
icaple5o,vS1RbN(%Pg5ok8tM,Iorgo Caple,icaple5o@edu.com,Colombia,no,Otro,Union libre,si,si,si,0
cboraston5p,"jX5?,*lam",Clarence Boraston,cboraston5p@edu.com,Mexico,si,Femenino,Casado,no,si,no,0
tbever5q,dP11W*6/,Tammie Bever,tbever5q@edu.com,Croatia,si,Masculino,Viudo,si,no,si,0
craith5r,pO3xF*_pFX&*x\la,Christel Raith,craith5r@edu.com,Colombia,si,Femenino,Soltero,no,si,si,0
ascowen5s,"bS6(2`N>""",Archibald Scowen,ascowen5s@edu.com,China,si,Otro,Divorciado,no,si,no,0
psherville5t,qB9jPH1T,Pablo Sherville,psherville5t@edu.com,China,si,Femenino,Viudo,si,si,no,0
